date,EQ_A,EQ_B,EQ_C,FX_USD_EUR,FX_USD_JPY,FUT_OIL,FUT_GOLD,FUT_SPX
2018-01-01,100.0,80.0,60.0,1.0,110.0,50.0,1200.0,3000.0
2018-01-02,97.82873879339887,81.1968145359003,60.42446774707798,0.9954811158582457,109.74541588913384,52.47715480564573,1170.879849079283,2974.265242268629
2018-01-03,100.3056377450388,80.14116614049793,59.39893438776237,0.9951982728880084,110.40010858822083,51.47132203607603,1165.68135378024,2948.427724228485
2018-01-04,104.73098222041367,82.7699399495506,60.889927677809474,0.9963512690004234,110.72573087161477,53.773220484789306,1154.772512873913,3017.7646633202585
2018-01-05,102.10457914200282,81.97814014613853,62.27076692202061,0.9920808655144236,110.6636940259542,52.38304040422202,1151.8206906454443,2848.85499712801
2018-01-08,98.48694630056075,81.11752063579414,63.71461184494484,0.9915640835990236,110.66495378421833,53.46457634670525,1141.6900090649196,2865.0152595030186
2018-01-09,96.90058452022079,79.01535664817673,63.09196112921046,0.9932709794513818,110.81483355094127,53.44560097544679,1169.0034042864702,2888.6752523053988
2018-01-10,98.79738634154708,81.66807205999409,61.050801606541185,0.9901755849024033,111.58775027089223,52.16601270041476,1169.3504022592183,2950.45338386082
2018-01-11,100.55737561069661,83.8178446275009,63.33355844364161,0.9933522444390519,111.242850962742,53.409957181110364,1173.0253430911723,2872.191695577239
2018-01-12,103.4077730620817,84.83275702399513,63.405584660648,0.9926576168732325,110.70964122014827,53.72965434787138,1178.520252679223,2824.4469667076155
2018-01-15,105.81139171330402,83.43657563227089,60.04017418595631,0.9957538959219647,110.53101518271356,53.526508566177164,1168.6499484811545,2733.7278337445423
2018-01-16,108.46775998430648,82.57442259619884,62.533271103531305,0.9981655367368517,110.39185303273871,51.78277164089867,1160.090031850702,2667.433669093863
2018-01-17,112.9954502032635,82.7781021907574,64.33142397895263,0.9943704553221472,110.47179224641965,53.6125603149536,1156.20360539589,2722.4422575822105
2018-01-18,110.5444254134014,81.08511838793798,64.94160851978945,0.9932393297904671,110.75550797539596,50.43137123420783,1164.43883479116,2863.9169057750064
2018-01-19,110.48998011404971,81.12664466640804,65.23311432832283,0.9876911672692482,110.9443003255996,48.002480790703316,1159.4587674621275,2935.1064080706687
2018-01-22,108.86529797686953,81.73661439639851,66.88471739061015,0.9885170969138175,110.33590465041121,47.52369165015011,1182.177334062096,2816.231912158464
2018-01-23,108.26482744532164,81.05970272823306,67.08662122202048,0.9907359687031201,111.04589014344985,47.13841842399834,1191.7806491403005,2844.379595033584
2018-01-24,109.29193001238654,80.37403013446998,65.41394803171154,0.9874664118667278,110.70989317042843,47.5933323164353,1200.8494967573547,2862.7809588430478
2018-01-25,108.09200277331918,82.55132657503495,67.89782295599622,0.9864177222033143,110.34524515846903,47.779253224009594,1216.0678461589025,2881.8336236561063
2018-01-26,109.29517205641164,82.28871414352422,68.6723179675566,0.9909884202622556,110.23945991667307,47.98466731722316,1219.154426718476,2898.1866090590015
2018-01-29,106.20891930371688,79.97203751890201,66.92176603636719,0.9914877068723016,110.48368713511994,47.22074005108963,1235.9453222881643,2889.887595228379
2018-01-30,106.2520741080584,79.73936222990478,67.14599877803713,0.9935831390249751,110.77786251981881,45.9480141670558,1254.7769734609499,2826.59752771308
2018-01-31,106.42043479950871,79.41115911334363,65.38510893095217,0.9933592233761618,110.44959945449651,46.04851245846367,1259.8348032855843,2909.8085660192423
2018-02-01,107.07467404344546,78.68308742204782,64.74495633136667,0.9937763690045007,110.49089029921163,48.06486989653136,1277.4139451233275,2888.9198693626067
2018-02-02,105.89976050260466,75.6651331577255,63.856460626618095,0.9908604570970128,110.33407081811231,48.62951326639406,1279.6774246462044,2887.18836594251
2018-02-05,106.32247445790222,75.52199238614932,64.17098391933462,0.9812558831708552,110.21522183023625,48.46779476809297,1275.3103755049485,2874.6033276956246
2018-02-06,107.81802789863202,74.84444079195477,67.70151439483732,0.9832820694073017,110.2124412100018,48.16730078516254,1274.206947809593,2821.9804327131387
2018-02-07,107.6127368979572,75.15730947146534,68.68241052056577,0.9849920651042556,110.0912615082384,46.12103499134991,1265.68119565815,2912.9719771245955
